City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
280,minas de marcona,-15.2119,-75.1103,17.94,78,6,2.0,PE,1713792364
281,kaposvar,46.3667,17.8,10.61,54,99,2.07,HU,1713792365
282,port said,31.2565,32.2841,20.77,68,99,7.76,EG,1713792366
283,kavaratti,10.5669,72.642,30.59,72,22,2.94,IN,1713792367
284,naha,26.2125,127.6811,23.03,91,100,3.53,JP,1713792367
285,bazou,5.0569,10.4698,23.62,77,99,1.26,CM,1713792368
286,arvayheer,46.2639,102.775,4.71,24,7,3.78,MN,1713792369
287,east london,-33.0153,27.9116,24.54,84,66,3.63,ZA,1713792370
288,manokwari,-0.8667,134.0833,27.79,75,0,2.59,ID,1713792371
289,tamanrasset,22.785,5.5228,31.04,9,0,12.02,DZ,1713792372
290,kiunga,-6.1219,141.2906,24.87,97,100,0.5,PG,1713792373
291,andergrove,-21.0833,149.1833,23.57,81,100,10.93,AU,1713792374
292,saint george,37.1041,-113.5841,18.62,24,14,1.39,US,1713792375
293,vorkuta,67.5,64.0,-9.91,89,100,5.11,RU,1713792375
294,la passe,45.5549,-0.8967,11.59,50,100,5.69,FR,1713792376
295,mvurwi,-17.0333,30.85,28.15,15,0,3.2,ZW,1713792377
296,quillacollo,-17.4,-66.2833,20.36,52,57,0.54,BO,1713792378
297,aghajari,30.7006,49.8315,32.98,20,82,6.2,IR,1713792379
298,baharly,38.4362,57.4316,30.88,16,18,3.2,TM,1713792380
299,rabaul,-4.1967,152.1721,27.76,78,14,1.22,PG,1713792381
300,whitehorse,60.7161,-135.0538,-0.48,90,10,1.41,CA,1713792382
301,utrik,11.2278,169.8474,27.45,83,89,9.02,MH,1713792382
302,ribeira brava,32.65,-17.0667,20.46,67,100,1.03,PT,1713792383
303,miracema do tocantins,-9.5618,-48.3967,28.28,76,83,1.73,BR,1713792384
304,christchurch,-43.5333,172.6333,8.75,75,100,2.24,NZ,1713792228
305,rabo de peixe,37.8,-25.5833,16.77,81,100,1.26,PT,1713792386
306,linghai,41.1653,121.3667,16.01,61,100,3.5,CN,1713792387
307,tofol,5.3248,163.0078,28.4,81,76,7.93,FM,1713792388
308,kabba,7.8287,6.0731,35.75,40,70,1.45,NG,1713792389
309,brisas de zicatela,15.8369,-97.0419,26.97,62,82,1.3,MX,1713792390
310,labytnangi,66.6572,66.4183,-9.94,79,16,5.39,RU,1713792391
311,greenville,35.6127,-77.3663,8.92,64,100,5.77,US,1713792218
312,castillos,-34.1667,-53.8333,17.23,97,100,4.98,UY,1713792393
313,borova,50.1763,30.1043,12.0,54,100,3.1,UA,1713792395
314,la'ie,21.6477,-157.9253,21.86,70,11,7.9,US,1713792396
315,kurumkan,54.3,110.3,2.84,71,77,1.81,RU,1713792396
316,burang,30.25,81.1667,0.44,68,22,3.58,CN,1713792398
317,la ronge,55.1001,-105.2842,-0.09,93,71,3.68,CA,1713792399
318,ratnagiri,16.9833,73.3,29.21,70,0,5.04,IN,1713792400
319,xapuri,-10.6517,-68.5044,28.09,73,73,1.77,BR,1713792401
320,lai,9.3952,16.2989,40.25,22,43,3.14,TD,1713792402
321,aykhal,66.0,111.5,-3.95,98,100,2.65,RU,1713792403
322,walla walla,46.0646,-118.343,3.95,62,2,1.69,US,1713792306
323,bayji,34.9311,43.487,31.24,14,0,9.18,IQ,1713792404
324,srandakan,-7.9386,110.2506,27.29,85,100,4.77,ID,1713792405
325,cabo san lucas,22.8909,-109.9124,20.32,66,0,4.97,MX,1713792040
326,mao,39.8885,4.2658,10.08,68,100,9.07,ES,1713792407
327,essaouira,31.5125,-9.77,21.73,60,99,10.55,MA,1713792408
328,kyzyl-mazhalyk,51.1333,90.6,11.13,60,51,2.16,RU,1713792409
329,vuktyl,63.8567,57.3094,-3.29,63,57,5.3,RU,1713792410
330,black forest,39.0131,-104.7008,6.94,39,100,3.39,US,1713792410
331,yinzhu,35.8786,119.9753,12.8,79,100,3.52,CN,1713792412
332,sarankhola,22.3082,89.7897,31.15,63,64,3.77,BD,1713792414
333,shiqian,27.5225,108.2281,14.54,97,24,0.7,CN,1713792415
334,long beach,33.767,-118.1892,13.86,85,52,1.75,US,1713792416
335,fang,19.9169,99.2145,29.9,21,6,1.17,TH,1713792416
336,titlagarh,20.3,83.15,33.24,36,97,1.97,IN,1713792417
337,xai-xai,-25.0519,33.6442,31.51,39,0,4.03,MZ,1713792418
338,mo i rana,66.3128,14.1428,0.48,66,100,2.04,NO,1713792419
339,san carlos del zulia,9.0,-71.9135,26.25,83,100,1.93,VE,1713792420
340,sassandra,4.95,-6.0833,32.66,57,100,4.18,CI,1713792421
341,georgetown,5.4112,100.3354,29.13,78,93,2.39,MY,1713792422
342,al hoceima,35.2433,-3.9309,18.1,66,13,2.37,MA,1713792423
343,arraial do cabo,-22.9661,-42.0278,23.54,74,0,6.26,BR,1713792423
344,isangel,-19.55,169.2667,26.26,89,99,3.74,VU,1713792424
345,tromso,69.6496,18.957,-0.93,67,2,5.56,NO,1713792425
346,antofagasta,-23.65,-70.4,19.06,80,58,2.66,CL,1713792426
347,toliara,-23.35,43.6667,27.5,56,0,7.06,MG,1713792427
